Gene,DiffusionScore
PFN1,0.0002744350972400417
SPOP,0.00027432953805663204
RPL35,0.000273843619884576
RPL36,0.0002737049786029875
ATXN1,0.0002730067165006154
RBBP7,0.0002728842153872091
MCAM,0.000272703199925932
TOP2A,0.00027265810436105794
TP53BP1,0.00027250241049680044
RPL18,0.00027229641245513043
RPS14,0.0002716520651430418
CBL,0.00027142647659705594
ARHGAP24,0.00027113276639941945
NUP155,0.0002710743813837785
PDIA4,0.00027085079840134514
PCNA,0.00027062651208502417
EPRS,0.00027041870304510317
KRT31,0.0002702533252738393
DDX6,0.00027019814663639674
VAPB,0.000270163943027411
MAPK6,0.0002700733114988656
SRSF6,0.00026986931975102015
CD3EAP,0.00026983165279280923
PSMC5,0.00026979783207028334
VCAM1,0.00026975766158274044
SRSF3,0.00026897422869295124
SMURF1,0.00026889561257210416
EIF4A3,0.0002685177494792642
GPR182,0.00026836650496537564
SKP1,0.00026817504416529187
ADARB1,0.0002681647096917136
RUFY1,0.0002680583425199097
DHX15,0.00026788386701426156
BAG1,0.00026778689402977914
TUBA1C,0.00026770912427524757
USP14,0.00026764867865609714
E2F4,0.00026745644372721953
FLOT1,0.00026696819710947167
DLD,0.00026595180174410286
JUP,0.0002657608116979474
SAP18,0.00026561960628436855
HNRNPA3,0.0002654899308269284
SNRPA,0.0002654661194660997
SRPK1,0.0002646086177469184
RPS11,0.0002643922809562317
C16orf72,0.0002643778735656609
DCTN1,0.0002642593107004604
GJD3,0.0002639488253757878
HMGB1,0.0002636019239444856
DERL1,0.00026356371722354734
RPS4X,0.0002633361411131414
FBXW11,0.00026288139853952004
ZFPL1,0.0002625498680645265
DYNLL1,0.00026219829876629664
DYNC1H1,0.0002620766635771359
PKM,0.0002619760013966417
CCDC47,0.0002619745309016142
NINL,0.0002618252154546279
PDIA3,0.0002615409899477101
TUBA1B,0.0002614918991723721
RPL10A,0.00026145169116564696
DDX23,0.0002613048040346374
RAB4A,0.00026040256306448167
SPTAN1,0.00026032705514502405
RIN3,0.00025969621759239404
ACTG1,0.00025959299056514624
FGFR4,0.0002595798940893307
NUMA1,0.0002590148821287933
RPL7,0.0002584429862106174
STX6,0.0002584014437494622
AGO2,0.0002582027984678977
KRT40,0.0002580968754019137
MDFI,0.00025775827726359454
AES,0.0002575776695552316
SSR1,0.00025744635964325624
TUBB3,0.0002573506316610524
PPP1CB,0.00025733382951619293
HERC2,0.0002572921270215732
DLST,0.00025709440448246513
RAD18,0.0002570454454784749
ATG9A,0.00025697769495675797
UBQLN1,0.0002569736603398929
WDYHV1,0.0002565007383663601
LONP1,0.00025643837451144383
TRIM33,0.0002561318122271555
LARP1,0.0002559407054310645
RPS27A,0.0002557873892158168
RELA,0.00025568579470761944
RIPK4,0.000255266097276077
SMAD4,0.00025519550645711583
IGF2BP1,0.0002551811855737992
HIST1H2BH,0.00025471163574226414
H2AFY,0.00025455460685572403
SRSF5,0.0002544077283743505
BAG6,0.00025427856089733973
SSB,0.00025415837386874417
SYNE3,0.00025399954116874727
TRIM31,0.0002537343156902922
HIST1H1B,0.0002536945837975489
RPS13,0.0002535211939347414
GSK3A,0.0002534651719518253
HADHB,0.0002529106576372482
RHOQ,0.00025287589341299675
HIF1A,0.00025257093817623893
RPA4,0.000252566232988596
IKBKG,0.00025245946227995885
ARRB2,0.000252287398660338
FAF2,0.0002522767317532125
RBMX,0.0002522471869443055
SF3A1,0.00025215891349124027
LMAN1,0.0002521422223738032
CS,0.0002519918417074896
PSMA3,0.00025191113926571035
RSL1D1,0.0002518793266960119
LATS1,0.00025181156042335074
RND2,0.0002516152794593035
TRAP1,0.000251045209460914
PPP2CA,0.00025046305272219546
MAPK1,0.0002503358230966184
AIMP2,0.0002497561511659706
MED4,0.000249489594651432
DPP4,0.00024945044390362715
IMMT,0.0002494368548170881
RPS7,0.0002493797336677469
KRTAP10-8,0.00024916510807639715
NFX1,0.000249098766035448
ZBTB2,0.0002490720802710036
FBXO2,0.00024870266970305566
YY1,0.00024815997777698825
ATXN3,0.0002478454704562254
PRMT5,0.0002475982903797495
SRRM2,0.00024752408781652326
JUN,0.0002470388672664264
PDZD8,0.0002469299913050496
RBM8A,0.00024664973576137575
ESYT1,0.00024656011640429565
ZNF330,0.000246044059678675
RPL30,0.00024597480541380616
TFCP2,0.00024579675019569756
RAN,0.00024562384012338616
KRT8,0.00024560545297685495
PABPC4,0.0002454843754251615
RANBP9,0.0002451103628486953
EEF1G,0.0002449049033405721
SDCBP,0.00024468582412232254
STX4,0.0002444725984399051
UNC93B1,0.00024420252144753647
ATP2A1,0.00024410349674529812
TMPRSS11B,0.0002438596288772325
RNF43,0.00024327317604693608
DISC1,0.0002431937154030005
DDX1,0.00024317989545752925
SOD1,0.00024311024751223816
PCM1,0.00024272403706161294
RPL27A,0.0002426169087944652
PRPF19,0.0002423929734155275
NUP35,0.00024210713912530254
CAPRIN1,0.00024210112201581826
MRPS26,0.000241952732678741
RPL28,0.00024185978402238462
PTGES3,0.00024147174184523996
TRAF6,0.00024117382331309464
OPTN,0.0002406521179251244
HSPH1,0.0002406434825953532
NOTCH2,0.00024055641480861644
LIMA1,0.00024036075626284598
THRAP3,0.0002403455799192574
OCIAD1,0.00024006195060751536
BICD2,0.00024004080066439827
HSD17B10,0.00023981336663831196
HIST3H3,0.00023977261768848691
SEC16A,0.00023973594757428058
ZNF598,0.00023967993713406874
FAM105A,0.00023959679165736996
SNRPC,0.00023923395699540858
PSMD2,0.0002390060691104958
SLC25A6,0.00023852702328868371
FXR2,0.0002381295265330004
RNF8,0.00023789689436034224
LOXL2,0.00023768445836599771
SNRNP200,0.00023765534042992126
MTA2,0.00023765428375263146
IGF1R,0.00023764803351663153
HSPA2,0.0002374673711265311
NOTCH2NL,0.00023738792404721189
SRP9,0.00023717741895153387
NUDCD2,0.0002369494991970605
RPL26L1,0.0002368432547284315
SUPT16H,0.00023672986859502753
UBE3A,0.000236666164475786
PTBP1,0.00023664980152339991
DNAJC7,0.00023624666716641309
TMEM17,0.00023584375922170556
EMC1,0.00023577748994804728
NUFIP2,0.0002355749637731599
P4HB,0.0002355427393470361
AP2M1,0.00023549985782010135
COX4I1,0.00023546594885042222
MTCH2,0.00023535553052356884
KLF16,0.00023523813247384518
TFIP11,0.00023519589958132347
CTTN,0.0002351375590036886
UBB,0.00023505093459298614
ATP5C1,0.0002347625749880024
FKBP5,0.00023467568647024108
S100A2,0.0002346226024079643
MYBBP1A,0.00023460957930663135
MDC1,0.00023383769621514159
CAPZA2,0.00023370551981253905
TUBB8,0.00023315402503219716
MCM5,0.0002326814315686809
STAT3,0.00023251881303300453
PSMC3,0.00023198637877517713
TFAM,0.00023182761579711427
NIFK,0.00023173310655367907
ACAD9,0.00023170089940756028
RPL18A,0.0002314411188341953
STIM1,0.00023124672582229683
RNPS1,0.0002311873372484144
CTCF,0.00023109872308729482
BRD2,0.0002307624263760395
PLEC,0.0002306558789952523
SFXN1,0.0002306466365028827
PRPF40A,0.0002306110775389768
UNK,0.00023059120256948215
IMPDH2,0.00023055322485711593
KRT18,0.000230051146270455
SMC1A,0.00022995750747387776
VDAC2,0.00022978110148444777
HSD17B11,0.00022889807713460887
MCM7,0.00022869657776453169
HIST1H2BB,0.00022845655141558651
UBA52,0.0002282408886669706
HAX1,0.0002275993613568841
LCK,0.00022757846033947694
HSD3B7,0.00022752655569407916
EIF4G1,0.00022746967714261403
SMARCA4,0.00022715855608418305
QARS,0.00022686559458374013
DSP,0.00022685474318003468
SLC25A5,0.00022668808474409193
RNF31,0.0002265587815358106
COPS6,0.0002263305950666734
BET1,0.00022601781252718354
IPO5,0.0002256160288451845
RPL27,0.00022553712228146037
USP9X,0.00022539839494996086
SURF6,0.0002253275713672952
CALR,0.00022496142986972475
SMAD3,0.0002248896923868041
NOP2,0.00022487647523137887
HDAC4,0.00022476718682290815
SMC3,0.00022474561436646966
EMC2,0.00022428384077312225
RPS15,0.00022419757176833725
CAD,0.00022404855772794016
YTHDC1,0.00022380393193124703
RPL22,0.00022362608675427384
COPA,0.00022344779796679826
PRKACA,0.00022340305332949937
TBK1,0.0002231167402116195
HMGA1,0.00022291935734039905
LIN28A,0.00022258243364934403
ANXA2,0.0002225237322374754
ABCE1,0.0002222199583769922
GATA4,0.0002221326517203498
RPS5,0.00022208206247643897
REL,0.0002220196612301041
SMARCA5,0.00022189752673143018
FHL2,0.00022171605931108485
DBN1,0.00022143749293992477
MEX3A,0.00022126632598129908
SIRT1,0.00022113371008317202
PSMD1,0.0002210720290862038
METTL17,0.00022100584012029614
TBRG4,0.00022086045225387465
ALB,0.00022085437043103614
DDX17,0.0002207876016928538
B3GAT1,0.00022067675130085977
SNIP1,0.00022062506867321572
GTPBP4,0.00022058785589081263
MMGT1,0.00022040204815607992
FASN,0.00022040167300829946
PAN2,0.00022000227300739074
WWTR1,0.00021984288325635007
PSME3,0.0002197443217171426
SUPT5H,0.00021972957910531234
HOXA1,0.00021968788447644354
PDGFRA,0.00021938882917156547
RAB1A,0.0002193531399978786
MTUS2,0.00021874324939761744
MKRN2,0.00021874040103888302
MYO6,0.00021824389101811377
GRWD1,0.0002180775499217865
REEP5,0.0002178934151269661
RPS15A,0.0002171692277986018
GBF1,0.0002171507229154363
DCPS,0.0002171495830395471
P2RY6,0.0002170584577957136
DNAJC5,0.00021692436443437814
SDHA,0.0002169005520638762
MYO1C,0.0002168516747097714
TRIM24,0.0002166452384762263
TRIM14,0.0002166209279950257
FTSJ3,0.00021641048879196355
ERGIC3,0.0002162227895066666
RPL9,0.00021619020147428826
TAF15,0.00021614154931494373
C21orf33,0.00021608181683667373
SLC25A3,0.00021589553937973008
NDN,0.000215887007104655
EXD2,0.00021575430828853746
AHCYL1,0.0002155574144059613
ALYREF,0.00021538530727749873
SNRPD2,0.0002153498797396038
MRPL11,0.00021531116301590808
SPTBN1,0.00021523235258806428
IMMP2L,0.00021513983356662034
AQP6,0.00021509222832443396
RLIM,0.0002150064058797183
EIF4B,0.00021469769615308626
ST7,0.00021430662720474072
PGRMC1,0.00021374036071318347
